state,wineries
ALABAMA,9
ALASKA,8
ARIZONA,26
ARKANSAS,10
CALIFORNIA,2025
COLORADO,72
CONNECTICUT,28
DELAWARE,2
FLORIDA,46
GEORGIA,20
HAWAII,4
IDAHO,32
ILLINOIS,83
INDIANA,40
IOWA,62
KANSAS,16
KENTUCKY,44
LOUISIANA,7
MAINE,14
MARYLAND,31
MASSACHUSETTS,31
MICHIGAN,112
MINNESOTA,26
MISSISSIPPI,2
MISSOURI,86
MONTANA,10
NEBRASKA,20
NEVADA,5
NEW HAMPSHIRE,10
NEW JERSEY,41
NEW MEXICO,36
NEW YORK,239
NORTH CAROLINA,74
NORTH DAKOTA,8
OHIO,108
OKLAHOMA,46
OREGON,295
PENNSYLVANIA,115
RHODE ISLAND,7
SOUTH CAROLINA,11
SOUTH DAKOTA,14
TENNESSEE,29
TEXAS,136
UTAH,7
VERMONT,14
VIRGINIA,140
WASHINGTON,451
WEST VIRGINIA,16
WISCONSIN,41
WYOMING,3
