state,abbr,brewery_count
ALABAMA,AL,53
ALASKA,AK,49
ARIZONA,AZ,129
ARKANSAS,AR,45
CALIFORNIA,CA,1019
COLORADO,CO,467
CONNECTICUT,CT,114
DELAWARE,DE,30
DISTRICT OF COLUMBIA,DC,14
FLORIDA,FL,377
GEORGIA,GA,141
HAWAII,HI,29
IDAHO,ID,74
ILLINOIS,IL,325
INDIANA,IN,192
IOWA,IA,101
KANSAS,KS,64
KENTUCKY,KY,74
LOUISIANA,LA,51
MAINE,ME,134
MARYLAND,MD,134
MASSACHUSETTS,MA,198
MICHIGAN,MI,401
MINNESOTA,MN,214
MISSISSIPPI,MS,16
MISSOURI,MO,152
MONTANA,MT,103
NEBRASKA,NE,57
NEVADA,NV,58
NEW HAMPSHIRE,NH,93
NEW JERSEY,NJ,153
NEW MEXICO,NM,99
NEW YORK,NY,487
NORTH CAROLINA,NC,367
NORTH DAKOTA,ND,24
OHIO,OH,334
OKLAHOMA,OK,63
OREGON,OR,321
PENNSYLVANIA,PA,434
RHODE ISLAND,RI,34
SOUTH CAROLINA,SC,96
SOUTH DAKOTA,SD,37
TENNESSEE,TN,122
TEXAS,TX,417
UTAH,UT,49
VERMONT,VT,78
VIRGINIA,VA,309
WASHINGTON,WA,445
WEST VIRGINIA,WV,30
WISCONSIN,WI,232
WYOMING,WY,42
